4rdq_A	4rdq_A
5jyl_C	5jyl_C
5jyl_C	5jyl_A
2xqy_A	2xqy_A
6ogx_G	6ogx_G
6a78_A	6a78_A
6a78_A	6a77_A
6okm_R	6okm_R
6qb3_A	6qb3_A
6qb3_A	6qb6_A
6qb3_A	5mes_A
2wub_C	2wub_C
2wub_C	2wuc_A
2wub_C	2r0l_A
2wub_C	2wub_A
2wub_C	3k2u_A
7lfa_C	7lfa_C
1cl7_I	1cl7_I
6fgb_A	6fgb_A
6fgb_A	6nha_A
6fgb_A	5whk_A
7joo_C	7joo_C
6o1f_I	6o1f_I
5en2_C	5en2_C
5en2_C	5nuz_C
5anm_F	5anm_F
5anm_F	5anm_G
5anm_F	5hys_G
5anm_F	5anm_E
5anm_F	5hys_I
3lev_A	3lev_A
6mi2_C	6mi2_C
6mi2_C	6mhr_C
6mi2_C	6mhr_F
6mi2_C	6a3w_C
6mi2_C	6mi2_F
6mi2_C	6a3w_I
6mi2_C	6a3w_L
4uta_A	4uta_A
4uta_A	4uta_B
6az2_D	6az2_D
6az2_D	4rrp_M
6az2_D	4rrp_O
6az2_D	4rrp_N
6az2_D	6ayz_A
6az2_D	5ucb_B
6az2_D	4rrp_P
6az2_D	4rrp_Q
6az2_D	6ayz_M
6az2_D	5eii_G
6az2_D	4rrp_R
6az2_D	6az2_B
6az2_D	5uea_D
3so3_A	3so3_A
3so3_A	3bn9_B
4lvn_A	4lvn_A
4lvn_A	4lvo_A
4nik_A	4nik_A
4mwf_C	4mwf_C
4mwf_C	4mwf_D
4mwf_C	6urh_C
4mwf_C	6meh_C
4mwf_C	6uyd_F
4mwf_C	6uym_E
4mwf_C	6uyd_E
4mwf_C	6wo5_F
4mwf_C	6wo5_E
4mwf_C	6uym_F
5l6y_C	5l6y_C
5l6y_C	3l5x_A
5l6y_C	3l5w_I
5l6y_C	4i77_Z
5l6y_C	3l5w_J
5l6y_C	4ps4_A
6svl_C	6svl_C
7k93_B	7k93_B
7k93_B	7k93_A
7k93_B	7k93_D
7k93_B	7k93_C
3thm_F	3thm_F
6cyf_B	6cyf_B
6cyf_B	6cyf_A
6cyf_B	6cyf_Q
6xxv_F	6xxv_F
6xxv_F	6xxv_C
5xj4_A	5xj4_A
5k9k_I	5k9k_I
5k9k_I	5k9k_F
6p67_K	6p67_K
6p67_K	6p67_G
6p67_K	6p67_I
1bgx_T	1bgx_T
4dn4_M	4dn4_M
4dn4_M	2bdn_A
7keo_G	7keo_G
7keo_G	3dvg_Y
7keo_G	3dvg_X
7keo_G	7keo_D
7keo_G	7keo_C
4hcr_A	4hcr_A
4hcr_A	4hc1_A
3ks0_A	3ks0_A
5ukr_G	5ukr_G
7bsc_A	7bsc_A
4np4_A	4np4_A
5y11_C	5y11_C
6c9u_A	6c9u_A
4y5y_C	4y5y_C
4y5y_C	4y5v_F
4y5y_C	4y5y_F
4y5y_C	4y5v_C
4y5y_C	4y5v_I
7kpb_C	7kpb_C
7kpb_C	5wux_F
7kpb_C	5wux_E
7kpb_C	5yoy_A
7kpb_C	5yoy_J
7kpb_C	7kpb_A
7kpb_C	4g3y_C
5wi9_A	5wi9_A
6bpc_D	6bpc_D
